,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
802,CR7,14/15,LaLiga,24,22-02-2015,A,Real Madrid,Elche CF,0-2,CF,69,0-2,Header,Isco,0,A,Ampliar,69,2nd,Q2 2nd,15
803,Messi,14/15,LaLiga,25,28-02-2015,A,FC Barcelona,Granada CF,1-3,RW,70,1-3,Right-footed shot,Luis Suarez,0,A,Ampliar,70,2nd,Q2 2nd,15
804,CR7,14/15,LaLiga,25,01-03-2015,H,Real Madrid,Villarreal CF,1-1,CF,52,1-0,Penalty,,0,D,Adelantar,52,2nd,Q1 2nd,15
805,Messi,14/15,LaLiga,26,08-03-2015,H,FC Barcelona,Rayo Vallecano,6-1,RW,56,3-0,Penalty,,0,H,Ampliar,56,2nd,Q1 2nd,15
806,Messi,14/15,LaLiga,26,08-03-2015,H,FC Barcelona,Rayo Vallecano,6-1,RW,63,4-0,Tap-in,,0,H,Ampliar,63,2nd,Q2 2nd,15
807,Messi,14/15,LaLiga,26,08-03-2015,H,FC Barcelona,Rayo Vallecano,6-1,RW,68,5-0,Left-footed shot,Pedro,0,H,Ampliar,68,2nd,Q2 2nd,15
808,CR7,14/15,UEFA Champions League,Round of 16,10-03-2015,H,Real Madrid,FC Schalke 04,3-4,CF,45,2-2,Header,Fabio Coentṛo,0,A,Empatar,45,1st,Q3 1st,15
809,CR7,14/15,UEFA Champions League,Round of 16,10-03-2015,H,Real Madrid,FC Schalke 04,3-4,CF,25,1-1,Header,Toni Kroos,0,A,Empatar,25,1st,Q2 1st,15
810,Messi,14/15,LaLiga,27,14-03-2015,A,FC Barcelona,SD Eibar,0-2,RW,31,0-1,Penalty,,0,A,Adelantar,31,1st,Q3 1st,15
811,Messi,14/15,LaLiga,27,14-03-2015,A,FC Barcelona,SD Eibar,0-2,RW,55,0-2,Header,Ivan Rakitic,0,A,Ampliar,55,2nd,Q1 2nd,15
